Campaign name,Ad set name,Ad name,Cost,Reach,Impressions,Link clicks,Post comments,Post reactions,Post Saves,Post shares,Three-second video views,Video watches at 100%,influ,funil,formato
_-consideration_NA_Consideration_Social-Auction_Equity_NA_-consideration-graspfail,LAMPSF674G_Facebook_Multiple_Mixed_Interests_RMKT+LAL_SSNT_CPC_-consideration-graspfail,Video_Video_Autografo_6s_0x0-meta-consideration,"9322,46",799183,2081818,11595,13,384,9,6,140488,58157,0,consideracao,video 6s
_BNC_Meta_Awareness_Social-Auction__NA_-awareness,LAMPJ3WYT7_Facebook_Multiple_Mixed_Interests_AS-18+-BR_SSNT_CPM_-bnc-awareness,Video_Mixed_-bnc-awareness-1_15s_meta-awareness-interesses,"9287,22",5863264,8762377,3276,,789,24,9,291904,40134,0,awareness,video 15s
Anitta_Equity_Awareness_Social_NA_N/A_SUSTENTAÇÃO-BR,PBFNSPT6X_Facebook_Video_Video_Demo_T053_AS_Auction_HERO,Video_Video_HERO_15s_-Anitta,"9263,7",5344268,14209890,17695,70,12389,122,70,689353,122662,1,awareness,video 15s
__-_E-M_FLAMIN-HOT_A_VID_BL_-_-_VID_HERO-MARCAS_20_28.12_31.12,FLAMIN-HOT_VID_FB-IG_BL_-_-_VID_HERO-MARCAS_CPV_TG_T015-A_VIDEO_PO_NF_AMPLO,VIDEO_HERO-_11-15S_QUAD-VERT_VID_FLAMIN-HOT_VID_FB-IG_BL_-_-_VID_HERO_CPV_TG_T015-A_VIDEO_PO_NF_AMPLO,"9249,41",713985,731441,1,11,420,19,18,413468,335171,0,awareness,video 15s
Global_Equity_Awareness_Social_NA_N/A_sustentacao-global,PBF14SWHX_Facebook_Display_In-Feed_Audiencia_T011_AS_Auction_SUSTENTACAO,Display_In-Feed_OCASIAO_4x5_Global,"9241,66",3625944,5581903,6,12,1218,24,60,326806,136292,0,awareness,display
Equity_Equity_Awareness_Social_NA_N/A_Sustentacao,PBFI6ZWLG_Facebook_Video_GIF_Interests_T011_AS_Auction_-,Video_Video_esse-temperinho_4x5_-,"9238,34",2951689,10249852,17980,41,21487,179,37,1118249,613454,0,awareness,video
_R-_I_SENSACAO_A_BRAND_BL_-_-_BRAND_BRASIL_21_5.8_8.9_BRANDING_SUPPORT_V2,SENSACAO_BRAND_FB-IG_BL_-_-_BRAND_SUSTENTACAO_CPV_TG_T011_MULTIPLE_PO_PO — Cópia — Cópia,VIDEO_HERO6S-2_4-6S_4:5_VID_SENSACAO_BRAND_FB-IG_BL_-_-_BRAND_SUSTENTACAO_CPV_TG_T010_MULTIPLE_PO_PO,"9229,93",2596104,3299001,6,28,2226,108,84,505134,235342,0,consideracao,video 6s
_confor_Meta_Awareness_Social-Auction_Equity_NA_-awareness,LAMPVWCMRJ_Facebook_Display_Mixed_Demo_as-18-29-net-consumer_SSNT_CPM_-confor-awareness,Display_Mixed_-confor-ferias_0x0_meta-awareness-ig,"9222,96",3274805,3831911,3970,28,717,19,14,106725,16599,0,awareness,display
__-_E-M_PACOTE-VIAGEM_A_BRAND_BL_-_-_BRAND_TEASER_20_11.4_30.11,PACOTE-VIAGEM_BRAND_FB-IG_BL_-_-_BRAND_TEENS_CPM_TG_T002_STORIES_FB-IG_ST,STORIES_TEASER_7-10S_QUAD-VERT_VID_PACOTE-VIAGEM_BRAND_FB-IG_BL_-_-_BRAND_TEENS_CPM_TG_T002_STORIES_FB-IG_ST,"9218,38",7085009,10948849,,,,,35,290954,92016,0,awareness,video 10s
__-_L_DINAMITA_A_BRAND_BL_-_-_VID_AWARENESS_21_3.12_31.12_BRANDING_SUPPORT_BRASIL,DINAMITA_BRAND_FB_BL_-_-_BRAND_AWARENESS_CPM_TG_RMKT_VID_PO_NF,VID_HERO-2M_-_QUAD-VERT_VID_DINAMITA_BRAND_FB_BL_-_-_BRAND_AWARENESS_CPM_TG_RMKT_VID_PO_NF,"9215,91",361108,569673,8551,11,228,13,36,386389,1169,0,awareness,video
-40-anos__Awareness_Social_NA_N/A_Awareness,PBFZ29XWC_Facebook_Multiple_Mixed_Interests_T023_AS_Auction_-,Video_GIF_KV-campanha-2_4x5_-,"9204,83",3260908,5622953,3364,6,433,10,17,383142,35622,0,awareness,gif
__-_E-M_FLAMIN-HOT_A_BRAND_BL_-_-_BRAND_SUSTENTACAO_20_28.12_31.12,FLAMIN-HOT_BRAND_FB-IG_BL_-_-_BRAND_KVTODOS_CPV_TG_T019_GIF_PO_NF_AMPLO,GIF_KV_-_QUAD-VERT_VID_FLAMIN-HOT_BRAND_FB-IG_BL_-_-_BRAND_KV_CPV_TG_T019_GIF_PO_NF_AMPLO,"9201,57",3333634,3805383,2,57,3019,103,81,216437,67650,0,consideracao,gif
__-_I_MEXICAN-SAUCE_A_BRAND_BL_-_-_BRAND_-_21_13.9_4.1_BRANDING_SUPPORT_SUSTENTACAO,MEXICAN-SAUCE_BRAND_FB-IG_BL_-_-_BRAND_SUSTENTACAO_CPM_TG_T020_MULTIPLE_PO_PO,PHOTOAD_APRESENTACAO-KV-TODOS_4:5_PPP_MEXICAN-SAUCE_BRAND_FB-IG_BL_-_-_BRAND_SUSTENTACAO_CPM_TG_T020_MULTIPLE_PO_PO,"9197,33",8345439,10769160,2,11,1120,39,145,,,0,consideracao,estático
__-_E-M_-AON_A_BRAND_BL_-_-_BRAND_AON-SETEMBRO_21_13.9_30.9_BRANDING_AWARENESS_-,-AON_BRAND_FB-IG_BL_-_-_BRAND_AON_CPM_TG_T011_MULTIPLE_PO_PO,VIDEO_TREMEU-FOI-TUDO_11-15S_QUAD-VERT_VID_-AON_BRAND_FB-IG_BL_-_-_BRAND_AON_CPM_TG_T011_MULTIPLE_PO_PO,"9196,62",4471996,7545188,1,112,15770,171,57,628553,122360,0,awareness,video 15s
_-ucl_Meta_Awareness_Social-Auction__NA_-alcance,LAMP15F1J7_Facebook_Display_Image_Interests_as-25-35-snacks+futebol_SSNT_CPM_-ucl-awareness-influs,Display_Image_-ucl-ale_1080x1080_meta-awareness-snacks+futebol,"9187,55",4897804,5129906,1091,3,4192,99,28,,,1,awareness,display
__-_P_PAC-MAN_A_POST_BL_-_-_POST_CONSIDERAÇÃO_20_19.1_15.11,PAC-MAN_POST_FB-IG_BL_-_-_POST_PORTFOLIO_CPM_TG_T010_VIDEO_PO_PO,VIDEO_PORTFOLIO_4-6S_QUAD-VERT_VID_PAC-MAN_POST_FB-IG_BL_-_-_POST_PORTFOLIO_CPM_TG_T010_VIDEO_PO_PO,"9186,85",3299309,5975770,6236,121,6224,236,230,1195398,504932,0,consideracao,video 6s
__-_P_APOIA-FUTURO_A_REACH_BL_-_-_BRAND_AWARENESS_21_15.3_31.5 - Cópia,APOIA-FUTURO_REACH_FB-IG_BL_-_-_BRAND_AWARENESS_CPM_TG_T002_VIDEO_PO_PO_AMPLO,VIDEO_HERO-GIF_16-30S_QUAD-VERT_VID_APOIA-FUTURO_REACH_FB-IG_BL_-_-_BRAND_AWARENESS_CPM_TG_T002_VIDEO_PO_PO_AMPLO_AJUSTADO,"9179,22",5823963,7162427,4572,8,1017,66,64,306466,27950,0,awareness,video 30s
Nordeste_Lançamento_Awareness_Social-Auction_Equity_N/A_Hero,PBFV5R1AY_Facebook_Video_Video_Interests_T060_AS_CPM_Hero-15s,Video_Video_Hero-Cheiro_15s_-Nordeste,"9173,17",2890752,6218368,5422,3,882,4,17,219820,38176,0,awareness,video 15s
__-_E-M_-TIKTOK_A_VID_BL_-_-_VID_AWARENESS_21_12.11_15.12_BRANDING_AWARENESS_NORDESTE,-TIKTOK_VID_FB-IG_BL_-_-_VID_AWARENESS_CPV_TG_T103_VIDEO_PO_PO,VIDEO_HERO-6S_-_QUAD-VERT_VID_-TIKTOK_VID_FB-IG_BL_-_-_VID_AWARENESS_CPV_TG_T103_VIDEO_PO_PO,"9170,38",1219406,11002982,4,147,19558,258,218,1205761,609107,0,awareness,video 6s
__-_P_-PIX_A_CONV_BL_-_-_CONV_KVS-CONV-SITE_21_21.7_12.9__CONVERSION,-PIX_CONV_FB-IG_BL_-_-_CONV_RMKTHERO_CPC_TG_[RMKT]-VIDEO-VIEW-3''HEROPIX_MULTIPLE_PO_PO,MULTIPLE_KV-GENÉRICO_7-10S_OTHERS_VID_-PIX_CONV_FB-IG_BL_-_-_CONV_RMKTHERO_CPC_TG_[RMKT]-VIDEO-VIEW-3''HEROPIX_MULTIPLE_PO_PO,"9164,09",655291,2128063,6873,216,1700,128,175,215926,101390,0,conversao,video 10s
NBA_Innovation_Awareness_Social_NA_N/A_Awareness-JOGOS,PBFIQ0M81_Facebook_Display_Carousel_Retargeting_C001_AS_CPM_-,Display_Carousel_Aviso-comercial_9x16_-,"9161,94",865538,1128064,1257,,,,,,,0,awareness,display
__-_P_O-VERAO-MAIS-HOT_A_CONV_BL_-_-_CONV_CONVERSAO_21_18.1_12.3,O-VERAO-MAIS-HOT_CONV_FB-IG_BL_-_-_CONV_FINALIZE-SEU-CADASTRO_CPM_CA_C011_CAROUSEL_FB-IG_PO_AMPLO,CAROUSEL_FINALIZE-SEU-CADASTRO_-_QUAD-VERT_CAR_O-VERAO-MAIS-HOT_CONV_FB-IG_BL_-_-_CONV_FINALIZE-SEU-CADASTRO_CPM_CA_C011_CAROUSEL_FB-IG_PO_AMPLO,"9147,8",220795,1179929,4980,210,1857,96,102,,,0,conversao,carrosel
-_Conversao_Conversion_Social-Auction__NA_BOT-Teste-Audiencia-B,PBFFV5FS4_Facebook_Multiple_Mixed_Audiencia_T031_SSNT_CPA_Interesses,Display_Banner_Produto-Tiras_4x5_Estatico,"9147,11",525443,1155213,4656,84,1725,49,67,,,0,conversao,display
asil_Break_Meta_Awareness_Direct_Equity_NA_-alcance,PBFRKYJIJ_Facebook_Video_Stories_Interests_18-35_AS_CPM_breaking-de-verao,Video_Stories_breaking-do-verao_16x9_isso-e-muito-,"9142,34",6777866,8100347,10,2,317,,20,207501,37837,0,awareness,video stories
_-always-on_Meta_Awareness_Social-Auction__NA_-always-on,LAMPCD5FGZ_Facebook_Display_Carousel_Interests_13-17-consumer-sem-interesses_AS_CPM_-always-on-awareness,Display_Image_-aon-dicas_0x0_meta-awareness-consumer-sem-interesse,"9121,25",0,16961102,5028,293,20971,611,138,,,0,awareness,display
__-_E-M_PACOTE-VIAGEM_A_WSC_BL_-_-_WSC_CODIGO_20_13.11_30.11,PACOTE-VIAGEM_WSC_FB-IG_BL_-_-_WSC_CODIGO_CPM_CA_C001_PHOTOAD_FB-IG_PO_AMPLO,PHOTOAD_CODIGO_-_QUAD-VERT_PPL_PACOTE-VIAGEM_WSC_FB-IG_BL_-_-_WSC_CODIGO_CPM_CA_C001_PHOTOAD_FB-IG_PO_AMPLO,"9087,96",0,3793225,33526,17,784,120,48,,,0,awareness,estático
__-_P_APOIA-FUTURO_A_CONV_BL_-_-_CONV_CONVERSÃO_21_30.4_31.5,APOIA-FUTURO_CONV_FB-IG_BL_-_-_CONV_RMKT_CPM_CA_C010_PHOTOAD_PO_PO_AMPLO,VIDEO_URGENCIA_11-15S_QUAD-VERT_VID_APOIA-FUTURO_CONV_FB-IG_BL_-_-_CONV_RMKT_CPM_CA_C010_VIDEO_PO_PO,"9081,45",102916,421659,1978,70,1037,26,34,36212,10417,0,conversao,video 15s
__-_E-M_FLAMIN-HOT_A_BRAND_BL_-_-_BRAND_SUSTENTACAO_20_28.12_31.12,FLAMIN-HOT_BRAND_FB-IG_BL_-_-_BRAND_KVTODOS_CPV_TG_T015-A_GIF_PO_NF_AMPLO,GIF_KV_-_QUAD-VERT_VID_FLAMIN-HOT_BRAND_FB-IG_BL_-_-_BRAND_KV_CPV_TG_T015-A_GIF_PO_NF_AMPLO,"9075,37",3811329,4007550,3,59,2517,88,82,248280,59784,0,consideracao,gif
_regional_Meta_Consideration_Social-Auction_Equity_NA_-Trafego,LAMPXQTQNX_Facebook_Video_IG-Reel_CDNA+LaL_-buyers_SSNT_CPC_-regional-consideracao,Video_IG-Reel_-regional-sheuba_9x16_meta-consideracao-CDNA-LaL-buyers,"9073,04",974850,2238597,15329,4,720,,167,306003,54403,0,consideracao,video reels
__-_I_BUFFALO-WINGS_A_BRAND_BL_-_-_BRAND_KV-CAMPANHA_21_30.3_20.05_SUSTENTACAO,BUFFALO-WINGS_BRAND_FB-IG_BL_-_-_BRAND_KV-CAMPANHA_CPM_TG_T005_MULTIPLE_PO_PO_AMPLO,GIF_-SUPLA_11-15S_1X1_GIF_BUFFALO-WINGS_BRAND_FB-IG_BL_-_-_BRAND_KV-CAMPANHA_CPM_TG_T005_MULTIPLE_PO_PO_AMPLO,"9045,43",9061394,17450609,12,207,15750,382,815,936491,101748,0,consideracao,video 15s
Rusticas_-rusticas_Meta_Awareness_Social-Auction__NA_-alcance-pracas,LAMPGK7GFX_Facebook_Video_Mixed_Demo+Geo_25a35-open-pracas_SSNT_CPM_-rusticas-awareness-30s,Video_Mixed_-rusticas-pracas_30s_meta-awareness-open,"9043,33",2708486,4379083,3590,4,250,13,12,157211,5660,0,awareness,video 30s
__-_P_APOIA-FUTURO_A_CONV_BL_-_-_CONV_CONVERSÃO_21_1.4_31.5,APOIA-FUTURO_CONV_FB-IG_BL_-_-_CONV_ESTATICO_CPM_LAL_L002_PHOTOAD_PO_PO_AMPLO,CAROUSEL_CONSIDERAÇÃO-2_16-30S_QUAD-VERT_CAR_APOIA-FUTURO_CONV_FB-IG_BL_-_-_CONV_CARROSSEIS_CPM_LAL_L001_CAROUSEL_PO_PO_AMPLO,"9039,59",809747,1066051,10240,151,5308,506,393,,,0,conversao,video 30s
__-_E-M_FARM-TO-PACK_A_BRAND_BL_-_-_BRAND_AWARENESS_21_22.1_24.11_BRANDING_AWARENESS_SUSTENTACAO,FARM-TO-PACK_BRAND_FB-IG_BL_-_-_BRAND_AWARENESS_CPM_TG_T100_STORIES_PO_PO,VIDEO_HERO-6S-CAMINHAO_-_QUAD-VERT_VID_FARM-TO-PACK_BRAND_FB-IG_BL_-_-_BRAND_AWARENESS_CPM_TG_T100_STORIES_PO_PO,"9030,18",4665590,7791228,,,,,31,132843,72343,0,awareness,video 6s
Rusticas_Facebook_Consideration_Social-Auction_Equity_NA_Video-View,PBFQBG35G_Facebook_Video_Video_Interests_-Rusticas_SSNT_CPM_RMKT-Video-View-S/LAL,Multiple_Mixed_Hero_6s_View,"9023,31",2132001,3771117,9021,30,1121,65,40,889297,287014,0,consideracao,video 6s
__-_E-M_FLAMIN-HOT_A_VID_BL_-_-_VID_HERO_20_16.12_30.12,"FLAMIN-HOT_VID_FB-IG_BL_-_-_VID_HERO15""_CPV_TG_T020_VIDEO_PO_NF_AMPLO","VIDEO_HERO30""_-_QUAD-VERT_VID_FLAMIN-HOT_VID_FB-IG_BL_-_-_VID_HERO30""_CPV_TG_T020_VIDEO_PO_NF_AMPLO","9019,14",2002907,3108896,9,542,38657,989,670,1034800,138491,0,awareness,video
__Conversion_Social_NA_N/A_-,PBFLUKYFL_Facebook_Multiple_Mixed_Retargeting_C012_AS_Auction_-,Display_Image_Ovinhos-2x_1x1,"9018,13",1039856,2322510,5694,107,1527,90,92,,,0,conversao,display
__-_E-M_FARM-TO-PACK_A_BRAND_BL_-_-_BRAND_AWARENESS_21_22.1_24.11_BRANDING_AWARENESS_SUSTENTACAO,FARM-TO-PACK_BRAND_FB-IG_BL_-_-_BRAND_AWARENESS_CPM_TG_T100_STORIES_PO_PO,VIDEO_HERO-6S-DIALOGO_-_QUAD-VERT_VID_FARM-TO-PACK_BRAND_FB-IG_BL_-_-_BRAND_AWARENESS_CPM_TG_T100_STORIES_PO_PO,"9001,4",5257433,9301905,,,,,13,149606,82404,0,awareness,video 6s
PLP_NA_Awareness_Social-Auction__N/A_Blasts,PBFO02PZA_Facebook_Multiple_Mixed_Interests_T025_SSNT_CPM_BLAST-2,Display_GIF_GIF-2_1s_1080x1350,"8996,22",4431888,4447314,6241,25,663,7,25,212499,38012,0,awareness,display
__-_E-M_FLAMIN-HOT_A_POST_BL_-_-_POST_SUSTENTAÇÃO_20_16.12_30.12,FLAMIN-HOT_POST_FB-IG_BL_-_-_POST_KV_CPV_TG_T015_GIF_PO_NF_AMPLO,GIF_KV_-_QUAD-VERT_VID_FLAMIN-HOT_POST_FB-IG_BL_-_-_POST_KV_CPV_TG_T015_GIF_PO_NF_AMPLO,"8949,32",2093037,2709388,3,296,24890,476,243,395708,151175,0,consideracao,gif
__-_P_-PIX_A_CONV_BL_-_-_CONV_KVS-CONV-WHATS_21_22.7_12.9__CONVERSION,-PIX_CONV_FB-IG_BL_-_-_CONV_RMKT-SEM-CADASTRO_CPC_TG_[RMKT]-INICIOU-MAS-NÃO-CADASTROU-PIX_MULTIPLE_PO_PO,BOTFB-&-IG_WHATSAPP_7-10S_OTHERS_VID_-PIX_CONV_FB-IG_BL_-_-_CONV_RMKT-SEM-CADASTRO_CPC_TG_[RMKT]-INICIOU-MAS-NÃO-CADASTROU-PIX_MULTIPLE_PO_PO,"8938,61",111424,800584,4251,263,1580,60,69,56849,15677,0,conversao,video 10s
__-_I_MAIONESE_A_POST_BL_-_-_POST_-_21_1.12_20.12_BRANDING_AWARENESS_-,MAIONESE_POST_FB-IG_BL_-_-_POST_-_CPM_TG_T020_MULTIPLE_PO_PO,PHOTOAD_VOD-LIPAO_-_QUAD-VERT_PPP_MAIONESE_POST_FB-IG_BL_-_-_POST_AWARENESS_CPM_TG_T020_PHOTOAD_PO_PO,"8937,48",286586,387655,603,43,40137,162,26,,,0,awareness,estático
__Conversion_Social_NA_N/A_WHATS-BOT,PBFL08Y5Z_Facebook_Multiple_Banner_1st-Party+Retargeting_SF-PIX_SSNT_Auction_-,Display_Image_Premios_1x1,"8908,66",0,963673,2927,172,1948,218,140,,,0,conversao,display
Rusticas_-rusticas_Meta_Awareness_Social-Auction__NA_-alcance-pracas,LAMPWT98HU_Facebook_Display_Image_Demo+Geo_25a35-open-pracas_SSNT_CPM_-rusticas-awareness-ecommerce,Display_Mixed_-rusticas-pracas-ecomm_1080x1080_meta-awareness-open,"8904,15",2663942,4209982,2838,13,737,52,30,,,0,awareness,display
Nordeste_Sao-Joao_Awareness_Social-Auction_Equity_N/A_Pernambuco,PBF4UGDLR_Facebook_Video_Video_Interests_T035-Pernambuco_AS_CPM_Hero-15s-6s,Video_Video_Hero-Pernambuco_15s_-Nordeste,"8897,53",534515,5582738,4,188,8938,127,284,278652,61534,0,awareness,video 15s
_-ucl-best-of_Meta_Awareness_Social-Auction__NA_-alcance,LAMPU6BV29_Facebook_Video_Video_Retargeting_as-18-35_SSNT_CPM_-ucl-awareness-best-of,Video_Video_-ucl-best-of_9x16_meta-best-of-negrete,"8862,87",1522168,1574613,1723,3,2904,1,12,185978,1761,0,awareness,video
__Awareness_Social_NA_N/A_Pico,PBFDA4TCE_Facebook_Multiple_Mixed_Interests_T040_AS_Auction_--,Video_Video_Prorrogacao_15s,"8861,59",5541527,5943424,3983,4,1509,14,29,272943,44107,0,awareness,video 15s
__-_P_-PIX_A_CONV_BL_-_-_CONV_KVS-CONV-SITE_21_21.7_12.9__CONVERSION,-PIX_CONV_FB-IG_BL_-_-_CONV_LAL_CPC_TG_LAL-10%_MULTIPLE_PO_PO,GIF_KV-GENÉRICO2_-_OTHERS_GIF_-PIX_CONV_FB-IG_BL_-_-_CONV_LAL_CPC_TG_LAL-10%_MULTIPLE_PO_PO,"8819,76",1084505,1741192,7562,183,3216,480,180,434757,303775,0,conversao,gif
_R-_I_SENSACAO_A_BRAND_BL_-_-_BRAND_BRASIL_21_5.8_8.9_BRANDING_SUPPORT,SENSACAO_BRAND_FB-IG_BL_-_-_BRAND_SUSTENTACAO_CPV_TG_T011_MULTIPLE_PO_PO,PHOTOAD_PRODUTOS-SABORES_-_4:5_PPP_SENSACAO_BRAND_FB-IG_BL_-_-_BRAND_SUSTENTACAO_CPM_TG_T011_MULTIPLE_PO_PO,"8809,7",4740480,7553961,13,26,1491,121,107,,,0,consideracao,estático
__-_E-M_FLAMIN-HOT_A_POST_BL_-_-_POST_SUSTENTACAO-BONUS_20_28.12_14.01,FLAMIN-HOT_POST_FB-IG_BL_-_-_POST_KV_CPV_CA_RMKT_GIF_PO_NF_SEM-NE,GIF_KV_-_QUAD-VERT_VID_FLAMIN-HOT_POST_FB-IG_BL_-_-_POST_KV_CPV_CA_RMKT_GIF_PO_NF_SEM-NE,"8794,51",2334744,5433220,2,94,9782,170,110,788633,258621,0,consideracao,gif
RAINBOW_BLAST_Awareness_Social-Auction_Equity_N/A_COMVIDEO-INSTREAM,PBFU10UDO_Facebook_Video_Video_Audiencia_t02_AS_CPM_BLAST-COM-VIDEOINSTREAM,Video_Video_HERO-15S_4x5_HERO-15S,"8786,17",1269193,1404528,3793,38,562,3,21,61186,12744,0,awareness,video 15s
Equity_Equity_Awareness_Social_NA_N/A_Sustentacao,PBFI6ZWLG_Facebook_Video_GIF_Interests_T011_AS_Auction_-,Video_GIF_Meme-whatsapp_4x5_-,"8755,94",2522113,7438400,7,89,75978,513,87,1098593,464650,0,awareness,gif
LAB_BR___-Portfolio_big-soccer-event_Meta_Awareness_Social-Auction_Equity_NA_-alcance-ago-1-5,LAMPWOY592_Facebook_Multiple_Mixed_Interests_18-54_SSNT_CPM_-big-soccer-event-ago-1-5,Video_Mixed_BSE-ate-a-ultima-gota-6s_0x0_meta-awareness-ago-1-5,"8746,9",4380842,7452209,3811,3,453,26,,300732,119367,0,awareness,video 6s
__-_E-M_NBA_A_BRAND_BL_-_-_BRAND_-_21_4.11_12.11_BRANDING_AWARENESS_-,NBA_BRAND_FB-IG_BL_-_-_BRAND_NBA_CPM_TG_T011_CAROUSEL_PO_PO,CAROUSEL_AWARDS-CROCRUNCH_-_QUAD-VERT_CAR_NBA_BRAND_FB-IG_BL_-_-_BRAND_NBA_CPM_TG_T011_CAROUSEL_PO_PO,"8734,65",3687203,6246137,3406,20,5738,116,20,,,0,awareness,carrosel
_L-_P_VAI-E-VOLTA_A_CONV_BL_-_-_CONV_CONVERSAO_21_5.1_11.1__CONVERSION_-,VAI-E-VOLTA_CONV_FB-IG_BL_-_-_CONV_CONVERSAO_CPM_LAL_L004_PHOTOAD_PO_PO,VIDEO_MECANICA-DETALHADA_11-15S_QUAD-VERT_VID_VAI-E-VOLTA_CONV_FB-IG_BL_-_-_CONV_CONVERSAO_CPM_LAL_L004_VIDEO_PO_PO,"8720,33",261691,577317,2061,45,412,33,52,36096,9119,0,conversao,video 15s
__-_E-M_PACOTE-VIAGEM_A_BRAND_BL_-_-_BRAND_TEASER_20_11.4_30.11,PACOTE-VIAGEM_BRAND_FB-IG_BL_-_-_BRAND_TEENS_CPM_TG_T002_VIDEO_PO_PO,VIDEO_TEASER-2_7-10S_QUAD-VERT_VID_PACOTE-VIAGEM_BRAND_FB-IG_BL_-_-_BRAND_TEENS_CPM_TG_T002_VIDEO_PO_PO,"8686,43",4157454,4944709,25,17,4440,150,33,254052,47625,0,awareness,video 10s
_-bnc-influs-teste-a-b_Meta_Consideration_Social-Auction_Auction_NA_-videoview,PBFKPA56RH_Meta_Video_Video_Interests_as-18+-interesses-impulsionamentos_SSNT_Auction_-bnc-videoview-teste-a-b,Video_Reels_influ-bia-napolitano-impulsionado_9x16_-bnc-videoview-interesses-teste-a-b,"8636,45",3463637,3780918,5451,1420,63192,,988,2709788,243758,1,consideracao,video reels
__-_E-M_-AON_A_BRAND_-_-_-_BRAND_AON-MAR_21_25.3_25.3,-AON_POST_IG_-_-_-_BRAND_LANCHE-QUEIJO-QUENTE_CPM_TG_T001_STORIES_IG_ST_AMPLO,STORIES_LANCHE-QUEIJO-QUENTE_-_QUAD-VERT_PPP_-AON_POST_IG_-_-_-_POST_HOROSCOPO_CPM_TG_T001_STORIES_IG_NF_AMPLO,"8615,46",7560022,10029661,7530,,,,848,,,0,awareness,stories
__-_P_LIGA-DOS-SABORES_A_BRAND_BL_-_-_BRAND_QUARTAS-DE-FINAL_21_9.4_14.5_SUSTENTACAO,LIGA-DOS-SABORES_BRAND_FB-IG_BL_-_-_BRAND_QUARTAS-DE-FINAL_CPM_TG_T0001_MULTIPLE_PO_PO_AMPLO,VIDEO_MAU-QUARTAS-30S_16-30S_4:5_VID_LIGA-DOS-SABORES_BRAND_FB-IG_BL_-_-_BRAND_QUARTAS-DE-FINAL_CPM_TG_T0001_MULTIPLE_PO_PO_AMPLO,"8588,3",5936371,9678536,4663,18,3351,141,29,418808,28538,0,consideracao,video 30s
Rusticas_NA_Consideration_Social-Auction_Equity_NA_Teste-AB-Audiencia,PBF0M6VOX_Facebook_Video_Video_Interests_T012_SSNT_CPM_SP/RJ/MG/SUL,Multiple_Mixed_Traceability_12s_ViewThru,"8559,01",294722,515115,2809,,10,,,418090,368029,0,consideracao,video 12s
__-_P_O-VERAO-MAIS-HOT_A_CONV_BL_-_-_CONV_CONVERSAO_21_18.1_12.3,O-VERAO-MAIS-HOT_CONV_FB-IG_BL_-_-_CONV_KV-_CPC_TG_T024_GIF_PO_NF_AMPLO,GIF_KV--B_-_HOR-QUAD_GIF_O-VERAO-MAIS-HOT_CONV_FB-IG_BL_-_-_CONV_KV-_CPC_TG_T024_GIF_PO_NF_AMPLO,"8550,94",810753,1321784,3583,201,2488,124,132,115792,19259,0,conversao,gif
_regional_Meta_Consideration_Social-Auction_Equity_NA_-Trafego,LAMPBP0AXI_Facebook_Video_Mixed_CDNA+LaL_-switchers_SSNT_CPC_-regional-consideracao,Video_Mixed_-regional-sweet-chilli_0x0_meta-consideracao-LaL-CDNA-switchers,"8516,32",594685,1960187,8821,37,446,7,7,87609,13783,0,consideracao,video
__-_E-M_NBA_A_POST_BL_-_-_POST_-_21_4.11_12.11_BRANDING_AWARENESS_-,NBA_POST_FB-IG_BL_-_-_POST_NBA_CPM_TG_T011_PHOTOAD_PO_PO,PHOTOAD_TORCIDA-CROCANTE_-_QUAD-VERT_PPP_NBA_POST_FB-IG_BL_-_-_POST_NBA_CPM_TG_T011_PHOTOAD_PO_PO,"8514,48",1181719,2706480,3,280,74769,361,75,,,0,awareness,estático
LAB_BR___-Portfolio_educacional_Meta_Awareness_Social-Auction__NA_-alcance,LAMPQLE1JN_Facebook_Video_Mixed_Interests_as-18a55-sports-net_SSNT_CPM_-educacional-awareness-inspiracional,Video_Mixed_-educacional-inspiracional-2_30s_meta-awareness-sports,"8511,45",5853172,6740910,3902,3,765,22,11,263241,7582,0,awareness,video 30s
__-_E-M_VACA-ALWAYS-ON_A_WSC_-_-_-_WSC_CONERSHOP_20_24.11_13.12,CONER-SHOP_WSC_IG_-_-_-_WSC_GIF_CPC_TG_T006_GIF_IG_PO_AMPLO,GIF_CONERSHOP-3_-_QUAD-VERT_GIF_CONER-SHOP_WSC_IG_-_-_-_WSC_GIF_CPC_TG_T006_GIF_IG_PO_AMPLO,"8461,94",635132,1089975,13964,42,1166,33,373,198674,60415,0,awareness,gif
Lolla_Equity_Awareness_Social_NA_N/A_Durante-Sudeste,PBF244GF7_Facebook_Multiple_Banner_Audiencia_t02_AS_Brand-Awareness_Durante-Sudeste,Display_GIF_KV-EMPATIA_4x5,"8447,5",3189739,3719235,12,5,636,10,15,134341,81009,0,awareness,display
_equity-nacional_Meta_Awareness_Social-Auction_Equity_NA_-alcance-agosto,LAMPXUS5JT_Facebook_Multiple_Mixed_Retargeting_view-3s_SSNT_CPM_-equity,Video_Video_equity-hero-15s_0x0_meta-awareness-RMKT3s,"8444,32",3376046,4732447,3361,11,967,16,17,229612,36540,0,awareness,video 15s
