Campaign name,Ad set name,Ad name,Cost,Reach,Impressions,Link clicks,Post comments,Post reactions,Post Saves,Post shares,Three-second video views,Video watches at 100%,influ,funil,formato
_R-_I_SENSACAO_A_BRAND_BL_-_-_BRAND_NORDESTE_21_16.8_8.9_BRANDING_SUPPORT_V2,SENSACAO_BRAND_FB-IG_BL_-_-_BRAND_SUSTENTACAO_CPM_TG_T010_MULTIPLE_PO_PO — Cópia — Cópia — Cópia,VIDEO_HERO6S-1_4-6S_4:5_VID_SENSACAO_BRAND_FB-IG_BL_-_-_BRAND_SUSTENTACAO_CPV_TG_T010_MULTIPLE_PO_PO,"4439,89",1685947,2423557,1718,2,557,8,16,124459,51284,0,consideracao,video 6s
Inverno_Equity_Consideration_Social_NA_N/A_Influenciadores,PBF97TJKW_Facebook_Video_Reels_Interests_T026_AS_CPE_Influ-3,Video_Reels_Jess-Bonfioli_9x16_-Influs,"4437,74",1445613,3001113,,181,96760,7,3377,644392,185151,1,consideracao,video reels
_-ucl_Meta_Awareness_Social-Auction__NA_-alcance,LAMPR7COLN_Facebook_Multiple_Mixed_1st-Party+Retargeting_as-18a64-net_SSNT_CPM_-ucl-awareness,Multiple_Mixed_-ucl-messi_15s_meta-awareness-first-party,"4424,58",145063,217391,312,4,267,10,6,20435,4196,1,awareness,video 15s
_equity-nacional_Meta_Awareness_Social-Auction_Equity_NA_-alcance-agosto,LAMPXUS5JT_Facebook_Multiple_Mixed_Retargeting_view-3s_SSNT_CPM_-equity,Video_Video_-equity-motivos_0x0_meta-awareness-RMKT3s,"4418,98",1944461,2492101,2008,2,277,3,8,79340,12491,0,awareness,video 3s
Lanchonete_NBA-CDNA_Meta_Awareness_Social-Auction_Innovation_NA_-alcance,LAMPZR1APN_Facebook_Video_IG-Reel_Interests_as-18a34-br_SSNT_CPM_-lanchonete-awareness-NBA,Video_IG-Reel_-lanchonete-video-NBA_9x16_meta-awareness,"4418,27",2131033,2287419,166,16,1854,,83,98095,11135,0,awareness,video reels
__-_E-M_-AON_A_POST_-_-_-_POST_AON-MAR_21_23.3_31.3,-AON_POST_IG_-_-_-_POST_SAUDADES-ARROBA_CPM_TG_T001_PHOTOAD_IG_NF_AMPLO,PHOTOAD_SDDS-ARROBA_-_QUAD-VERT_PPP_-AON_POST_IG_-_-_-_POST_HOROSCOPO_CPM_TG_T001_PHOTOAD_IG_NF_AMPLO,"4417,35",487694,495743,,23,30187,219,43,,,0,awareness,estático
__-_I_MAIONESE_A_BRAND_BL_-_-_BRAND_AWARENESS_21_16.11_20.12_BRANDING_AWARENESS_-,MAIONESE_BRAND_FB-IG_BL_-_-_BRAND_AWARENESS_CPM_TG_T011_PHOTOAD_PO_PO,PHOTOAD_SCORPION_-_QUAD-VERT_PPP_MAIONESE_BRAND_FB-IG_BL_-_-_BRAND_AWARENESS_CPM_TG_T011_PHOTOAD_PO_PO,"4402,92",1699631,2157692,12,18,4528,67,15,,,0,awareness,estático
Nordeste_Sao-Joao_Awareness_Social-Auction_Equity_N/A_Bahia,PBFJ9IGO9_Facebook_Display_Image_Interests_T034-Bahia_AS_CPM_KV-Regional,Display_GIF_KV-Bahia_0x0_-Nordeste,"4394,46",894463,3951155,54,4,175,1,4,98951,43564,0,awareness,display
Nordeste_Sao-Joao_Awareness_Social-Auction_Equity_N/A_Ceara,PBF2V5ZMS_Facebook_Display_Image_Interests_T034-Ceara_AS_CPM_KV-Regional,Display_GIF_KV-Ceara_0x0_-Nordeste,"4394,46",704768,3659948,33,2,202,1,6,84365,37213,0,awareness,display
Nordeste_Sao-Joao_Awareness_Social-Auction_Equity_N/A_Maranhao,PBFJ6JLXU_Facebook_Display_Image_Interests_T034-Maranhao_AS_CPM_KV-Regional,Display_GIF_KV-Maranhao_0x0_-Nordeste,"4394,46",569216,2917787,35,3,337,3,4,73886,31847,0,awareness,display
Nordeste_Sao-Joao_Awareness_Social-Auction_Equity_N/A_Pernambuco,PBFNVJY3S_Facebook_Display_Image_Interests_T034-Pernambuco_AS_CPM_KV-Regional,Display_GIF_KV-Pernambuco_0x0_-Nordeste,"4394,46",754817,3692313,40,4,252,3,5,94155,42541,0,awareness,display
__-_E-M_EQUITY_A_BRAND_BL_-_-_BRAND_PILULAS_21_8.9_18.9_BRANDING_SUPPORT_NORDESTE,EQUITY_BRAND_FB-IG_BL_-_-_BRAND_PILULAS_CPM_TG_T024_VIDEO_PO_PO,VIDEO_HERO-15S-V1_11-15S_HOR-VERT_VID_EQUITY_BRAND_FB-IG_BL_-_-_BRAND_PILULAS_CPM_TG_T024_VIDEO_PO_PO,"4391,81",1104809,2604787,3,38,12297,90,25,221974,28708,0,awareness,video 15s
Nordeste_Embalagem_Awareness_Social-Auction_Equity_NA_-Nordeste,PBFMWM3G0_Facebook_Video_Video_Interests_T039_SSNT_CPM_Feed,Video_Video_Edicoes-Comemorativas_15s_-Nordeste-Embalagem,"4390,35",897283,941818,295,6,2017,32,3,69184,11711,0,awareness,video 15s
Cade-Minha-Heranca_NA_Conversion_Social-Auction__N/A_Conversão,PBFZ5WXIU_Facebook_Multiple_Mixed_Interests_-H2OH_SSNT_CPM_Brasil,Display_Image_Prorrogacao-2_1080x1080_0s,"4387,83",258626,731638,1856,47,534,42,59,,,0,conversao,display
Nordeste_Sustentacao_Awareness_Social-Auction_Equity_N/A_Pernambuco,PBFEX9OR2_Facebook_Video_IG-Reel_Interests_T038_SSNT_CPM_Pernambuco,Video_IG-Reel_Nordeste_6s_-Nordeste,"4378,82",874240,2807117,,18,401,,24,75314,41551,0,awareness,video 6s
Inverno_Equity_Consideration_Social_NA_N/A_Influenciadores,PBFJQUETH_Facebook_Video_Reels_Interests_T026_AS_CPE_Influs-2,Video_Reels_Dani-Choma_9x16_-Influs,"4371,08",1623987,3377319,,298,132452,,4568,1002056,236474,1,consideracao,video reels
_regional_Meta_Consideration_Social-Auction_Equity_NA_-Trafego,LAMPBP0AXI_Facebook_Video_Mixed_CDNA+LaL_-switchers_SSNT_CPC_-regional-consideracao,Video_Mixed_-regional-nacho_0x0_meta-consideracao-LaL-CDNA-switchers,"4370,65",356416,939697,5420,5,176,1,2,37096,6566,0,consideracao,video
