Cost,Impressions,Link clicks,Comments,Reactions,Saves,Shares,Three-second video views,Video watches at 100%,influ,funnel,format,channel
3007.18,1855179,4538,,216,4,6,116419,50656,0,awareness,video 6s,meta
3005.84,249812,164,,110,2,3,156287,110713,0,awareness,video,meta
3005.23,156678,1184,,371,15,8,,,0,consideracao,display,meta
3004.59,1114035,2419,,6541,194,115,77753,36088,0,awareness,bumper,meta
3001.9,645154,4014,,709,25,24,87892,31870,0,conversao,video 10s,meta
3000,840702,1489,,393,11,24,,,0,awareness,video,meta
2998.68,888751,2205,130,1,,,,,0,awareness,estatica,twitter
2998.37,225272,1022,,175,4,5,14637,4196,0,conversao,video 14s,meta
2996.37,435844,1648,,356,23,102,167228,107031,0,consideracao,video 10s,meta
2994.05,2402083,2369,,3555,,43,276978,2447,1,awareness,reels,meta
2990.02,267240,2415,,1340,79,30,31308,4366,0,awareness,gif,meta
2989.61,1977770,8217,38,2298,,25,310625,26306,0,consideracao,video 10s,tiktok
2985.35,1453806,962,,165,8,17,,,0,awareness,display,meta
2985.09,1785568,537,,,,7,45019,28293,0,awareness,stories,meta
2980.7,395183,1733,,457,23,16,,,0,conversao,display,meta
2976.23,3009637,2839,,103,3,17,,,0,awareness,display,meta
2975.94,555882,792,,900,24,13,54221,12624,0,awareness,display,meta
2974.16,247398,2828,,269,19,45,,,0,conversao,estatico,meta
2973.5,349649,1533,,1735,3,29,77860,8238,0,awareness,video 28s,meta
2973.11,271462,23149,,0,,0,81256,68368,0,conversao,múltiplo,tiktok
2971.84,943000,6525,,754,89,42,199643,134411,1,conversao,gif,meta
2971.67,1534369,582,,,,8,44864,21719,0,awareness,stories,meta
2955.31,1987010,1646,,19,,,51554,15685,0,awareness,video 10s,meta
2948.65,3079486,3150,,792,17,29,,,0,awareness,carrossel,meta
2947.94,322235,9123,,202,4,4,84289,39635,0,awareness,video,meta
2947.64,2044729,965,,667,,32,60870,11668,0,awareness,video reels,meta
2941.2,213157,504,,4,,3,166685,143482,0,awareness,gif,meta
2938.08,885404,1871,,,,,254656,72879,0,awareness,video 15s,youtube
2935.55,2478332,17545,,0,,0,606479,462943,0,conversao,video 15s,tiktok
2928.27,646704,543,,45,,15,87246,60368,0,awareness,video 15s,tiktok
2920.5,450442,903,,16625,67,4,,,0,awareness,estatico,meta
2916.9,761156,11558,,7034,,56,121645,18126,0,awareness,video,tiktok
2913.2,1040436,477,,,18,,,,1,awareness,display,pinterest
2910.99,1223127,1134,,254,12,19,81519,14139,0,awareness,video 15s,meta
2906.3,194842,12132,,11,1,,110544,44442,0,awareness,gif,meta
2904.61,1986529,4588,,826,21,75,74100,30446,0,awareness,gif,meta
2903.88,822767,2461,,75,6,17,15399,4284,0,awareness,gif,meta
2903.18,181089,7823,,72,3,6,55622,22441,0,consideracao,video 14s,meta
2903.02,2368313,777,,368,,11,143278,53083,1,awareness,stories,meta
2901.96,1649892,6119,6,1904,,10,241672,23478,0,consideracao,video 10s,tiktok
2901.9,663878,762,,247,11,12,37464,9953,0,awareness,video,meta
2900.1,600153,1616,,502,30,368,,,0,awareness,carrossel,meta
2896.35,125824,1255,,,,,94217,80294,0,awareness,video,meta
2891.98,240379,133,,122,1,15,18785,3137,0,awareness,video 15s,meta
2887.27,356535,636,,,,,44846,5556,0,awareness,video 30s,youtube
2886.88,1463796,2054,,788,31,74,59733,6710,0,awareness,video 15s,meta
2884.23,267018,10249,,731,23,107,43823,10244,0,awareness,video 14s,meta
2882.88,1882695,5485,,247,13,4,145206,65248,0,awareness,video 6s,meta
2872.75,1648382,1635,,,,4,59561,82,0,awareness,stories,meta
2865.63,1455316,2836,,856,,11,101832,8842,0,conversao,video 15s,tiktok
2865.05,658310,9037,,568,79,70,,,0,awareness,estatico,meta
2863.95,1360022,2869,,345,6,3,65947,20235,0,awareness,gif,meta
2858.75,937963,3474,,16651,424,239,88009,13271,0,awareness,video 30s,meta
2854.35,225748,1802,,1540,94,20,,,0,conversao,estatico,meta
2849.86,204388,946,,215,9,10,12852,3147,0,conversao,video 14s,meta
2847.56,2236101,555,,377,,8,121016,2744,1,awareness,stories,meta
2845.91,880343,2330,604,32,,1,746413,44100,0,awareness,video,twitter
2845.69,2565899,2082,,74,,40,97186,158,0,awareness,video reels,meta
2845.16,1735770,2202,,340,21,4,128829,3783,0,awareness,video 30s,meta
2843.04,616259,6721,,46,1,1,45468,18353,0,consideracao,video 10s,meta
2842.4,299163,109,,,,,221401,163416,0,awareness,display,youtube
2833.04,565694,8286,,339,,56,86904,19440,0,consideracao,video reels,meta
2832.3,189049,3229,,616,36,32,,,0,conversao,estatico,meta
2831.96,591472,541,,,,,0,0,0,awareness,bumper,youtube
2830.71,354577,1771,,1589,83,92,47606,3198,0,awareness,video reels,meta
2827.2,176082,681,,310,15,23,,,0,consideracao,carrossel,meta
2821.81,1901700,4442,,0,,0,0,0,0,conversao,video 15s,tiktok
2818.75,175948,55,,5,,,109771,82259,0,consideracao,video 15s,meta
2817.26,594508,206,,,,25,18832,6676,1,awareness,video 15s,meta
2814.49,440389,1365,,387,5,7,41036,20774,0,conversao,video 15s,meta
2814.05,2430212,3458,,142,5,2,124795,20412,0,awareness,carrossel,meta
2811.43,320104,1418,,76,4,22,153376,41324,1,awareness,video,meta
2810.48,967477,1342,,,,5,,,0,awareness,stories,meta
2805.91,1306034,2617,,321,10,3,62608,18667,0,awareness,gif,meta
2805.87,440799,4172,,,,,257182,148857,0,awareness,video,youtube
2800,1248162,3056,,7596,244,82,167155,17389,0,awareness,video 30s,meta
2795.72,862631,289,,86,,4,32941,7625,0,awareness,video 15s,meta
2795.6,555968,806,,259,,52,63060,1894,1,awareness,video 30s,meta
2790.16,1191329,1633,,294,16,29,71410,10744,0,awareness,video 12s,meta
2778.62,1986135,2790,,824,10,9,,,0,awareness,display,meta
2778.45,289697,1059,,,,,175065,106019,0,consideracao,video,youtube
2778.14,1357235,3569,,256,2,21,,,0,awareness,display,meta
2777.87,2427263,1407,,148,1,6,,,0,awareness,display,meta
2777.56,1218917,2408,,471,,9,52741,2841,0,awareness,video 15s,tiktok
2776.51,2158986,3647,,1606,,46,158180,771,0,awareness,video reels,meta
2772.54,2689152,3882,,1763,21,6,121508,98819,0,awareness,gif,meta
2768.32,819260,2481,,538,,3,64061,4468,0,awareness,video 15s,tiktok
2762.93,249542,909,,150,4,6,23783,4948,0,awareness,video 10s,meta
2761.32,359795,973,,4720,,4,103266,8814,1,awareness,video 30s,meta
2760.45,2861161,22706,46,9076,,127,722361,43720,0,awareness,video 15s,tiktok
2759.79,1479037,5573,,29932,207,38,180338,53139,0,awareness,gif,meta
2755.89,1097512,1266,,500,12,20,96221,14244,0,awareness,video 15s,meta
2753.59,1081357,309,,,25,,589092,37632,0,consideracao,video 15s,pinterest
2753.59,9044510,13147,,3236,,22,,,0,awareness,carrossel,meta
2752.8,651876,1179,,230,7,8,32318,13255,0,awareness,video 6s,meta
2748.22,1809059,4321,3,732,,6,128483,4654,1,awareness,video,tiktok
2744.3,1426376,2086,,83,5,3,65750,6592,0,awareness,video 15s,meta
2742.32,1033773,2188,,390,8,9,,,0,consideracao,display,meta
2741.23,220686,1556,112,,,1,,,1,consideracao,display,twitter
2738.65,783214,395,,413,,42,63672,27578,0,awareness,video 15s,meta
2733.89,400066,837,,635,36,15,167593,140879,0,awareness,bumper,meta
2731.46,711484,323,,551,24,36,141608,94438,0,awareness,video 15s,meta
2730.53,1494486,5361,4,511,,4,52783,2044,1,awareness,video 11s,tiktok
2729.03,1061881,3811,,905,49,42,57562,21085,0,awareness,video 15s,meta
2726.37,1003586,178842,,0,,0,0,0,0,consideracao,video,tiktok
2726.01,1695574,3158,,412,3,7,111092,3079,0,awareness,video 30s,meta
2723.25,98390,421,,,,,74193,2070,0,consideracao,video,youtube
2719.47,282118,2203,,594,22,17,,,0,conversao,display,meta
2709.67,183996,252,,1,,,171214,162147,0,consideracao,video 60s,meta
2708,1361655,3783,,490,7,15,72874,24895,0,conversao,video 15s,meta
2701.97,3812482,2377,,,,175,191123,57990,0,awareness,stories,meta
2699.77,139774,1119,,132,8,20,13332,4678,0,conversao,video,meta
2695.78,88121,1782,,247,7,4,29013,19795,0,conversao,gif,meta
2693.13,2723523,1141,,456,25,22,,,0,awareness,estatico,meta
2692.72,1487748,3460,,684,,,69599,9360,1,awareness,display,meta
2686.41,1593983,2536,,529,27,43,,,0,awareness,estatico,meta
2685.38,250134,1356,,488,35,20,20740,3316,0,conversao,display,meta
2684.93,97429,368,,,,,75682,2119,0,consideracao,video,youtube
2683.73,358195,3569,,8440,56,33,,,0,consideracao,video,meta
2683.21,264369,327,,,,,163742,101897,0,consideracao,video,youtube
2679.9,190639,13025,,19,1,,90975,29306,0,awareness,gif,meta
2670.85,523843,3886,,104,13,13,167380,3269,0,consideracao,video 30s,meta
2669.14,265326,14769,,23,,2,175647,41163,0,consideracao,video 15s,meta
2666,840829,4143,,470,8,12,57925,20037,0,awareness,video,meta
2664.61,470042,5381,,,,,238015,119055,0,consideracao,video,youtube
2663.53,581961,467,,104,3,3,290943,24350,0,consideracao,video 15s,meta
2663.27,245693,376,,238,1,9,11996,3422,0,awareness,video,meta
2660.11,1835222,2055,,721,44,25,,,1,awareness,estatico,meta
2657.94,1811440,391,,127,,7,41098,9517,0,awareness,video 15s,meta
2657.66,1071007,596,,197,8,1,51328,24224,0,awareness,video,meta
2657.14,116403,860,,471,28,17,,,0,conversao,carrossel,meta
2654.77,1302809,1769,,123,4,4,,,0,awareness,display,meta
2652.5,509844,696,,242,2,1,22816,6850,0,awareness,video,meta
2649.87,103207,1772,,,,,76428,5327,0,consideracao,video,youtube
2648.92,2215193,2127,,271,10,7,,,0,awareness,carrossel,meta
2648.48,805557,5923,,382,40,22,,,0,conversao,estatico,meta
2648.01,655077,2288,,290,26,24,,,0,conversao,múltiplo,meta
2644.97,2253068,3188,,7203,63,21,179616,56018,0,awareness,gif,meta
2641.21,779118,2253,,463,,3,66954,13247,0,awareness,video 6s,tiktok
2639.76,145174,3003,,596,70,43,,,0,conversao,estatico,meta
2631.85,2136978,2290,,6143,88,51,238131,76001,0,awareness,gif,meta
2623.47,117951,176,,153,,,,,0,awareness,carrossel,meta
2620.86,1264528,2995,,784,,6,85620,10284,0,awareness,video 10s,tiktok
2618.53,1401728,3187,,88,2,20,45249,1486,0,consideracao,video,meta
2616.66,1073398,1065,,,,1,32625,11237,0,awareness,video,meta
2616.63,174244,34,,4,1,,140134,127877,0,awareness,video 15s,meta
2615.37,2117816,1045,,740,22,18,,,0,awareness,estatico,meta
2607.5,568589,2134,,801,,10,50856,3933,0,conversao,video,tiktok
2605.32,142970,1973,,582,47,18,,,0,conversao,múltiplo,meta
2605.02,526106,5980,,1082,29,34,,,0,conversao,carrossel,meta
2604.35,224888,496,,,,,76417,24560,0,conversao,video 15s,youtube
2604.33,4957422,7422,,,,,128734,309,0,conversao,video 15s,youtube
2603.65,2062514,636,,,,3,44006,17149,0,awareness,stories,meta
2601.9,631584,964,,127,5,10,26347,7217,0,awareness,video,meta
2593.41,638834,5372,,1196,39,51,,,0,conversao,carrossel,meta
2590.77,1353558,582,,1163,,24,76474,5092,1,awareness,video reels,meta
2589.5,3246748,1699,,101,2,15,64287,25644,0,consideracao,video 10s,meta
2588.76,254812,4058,,457,6,20,,,0,awareness,display,meta
2588.62,6668008,3857,,,,462,183304,71615,0,awareness,stories,meta
2588.26,945955,2911,,3548,29,37,62967,28487,0,awareness,video 6s,tiktok
2586.36,357693,2448,,442,35,20,,,0,conversao,display,meta
2581.28,420707,4862,,142,,1,24390,3689,0,consideracao,video,meta
2580.53,567269,891,,136,3,18,26778,7344,0,awareness,video 10s,meta
2580.3,517120,4353,,88,3,2,19174,3486,0,consideracao,video,meta
2579.15,286974,6735,,186,6,4,35587,15835,0,consideracao,video 10s,meta
2575.06,248792,1945,,464,34,21,,,0,conversao,display,meta
2574.47,1027786,1797,,6361,205,54,119891,18039,0,awareness,video 30s,meta
2570.17,487977,2664,10,1001,,12,52655,4716,0,consideracao,display,tiktok
2568.43,862774,890,,,34,,,,1,consideracao,display,pinterest
2567.99,2600267,2223,,1635,,22,183140,1432,1,awareness,video 60s,meta
2567.13,1003402,179285,,0,,0,0,0,0,consideracao,video,tiktok
2557.76,2407015,1433,,201,18,21,62202,10496,0,awareness,video 30s,meta
2556.46,264585,345,,,,,161465,98849,0,consideracao,video,youtube
2555.84,2563585,2065,,1344,,30,171431,2827,1,awareness,stories,meta
2554.4,466436,255,,,,,189537,74488,0,awareness,video 10s,youtube
2553.59,487341,3413,,425,29,40,,,0,conversao,display,meta
2545.36,1171274,1561,,8513,839,179,261189,134830,0,awareness,video,meta
2537.1,150034,4508,,0,,0,62705,47631,0,conversao,múltiplo,tiktok
2534.19,2266640,1299,,92,5,8,,,0,awareness,display,meta
2531.54,5641551,8187,,0,,0,108636,106780,0,awareness,múltiplo,tiktok
2530.64,365928,2251,,998,59,25,83,26,0,awareness,estatico,meta
2530.3,1715289,803,,527,,25,49857,9528,0,awareness,video reels,meta
2529.43,305992,1223,,,,,43030,3257,0,awareness,video 60s,youtube
2529.3,193328,1743,106,,,,,,1,consideracao,display,twitter
2519.33,236616,880,,,,,137480,80000,0,consideracao,video,youtube
2519.17,249257,728,,90,24,71,,,0,conversao,carrossel,meta
2517.42,891985,409,,,13,,,,1,consideracao,display,pinterest
2512.97,899925,1210,,33,1,,31803,4744,0,awareness,video 15s,meta
2512.46,1866148,1826,,269,19,3,,,0,awareness,carrossel,meta
2512.05,1645182,5100,3,760,,7,144742,4235,1,awareness,video,tiktok
2511.86,363951,1849,,27,2,4,140574,14630,0,awareness,video 30s,meta
2511.59,187038,4595,,,,,106607,37206,0,awareness,video,youtube
2510.71,1982554,1457,,150,1,4,58793,9490,0,awareness,video 15s,meta
2509.85,1356014,4278,53,22348,670,1153,283127,20148,1,awareness,display,meta
2506.07,349840,573,,,,,47213,3480,0,consideracao,video 15s,youtube
2503.76,241811,374,,27872,196,12,,,0,awareness,estatico,meta
2500.03,1350504,1415,,210,14,64,69972,17795,0,awareness,video,meta
2498.75,179946,4316,,3,,,126835,113699,0,consideracao,video 15s,meta
2498.25,369024,336,,,,2,56315,34544,0,awareness,gif,meta
2494.99,697902,4882,,75895,1923,137,,,0,awareness,estatico,meta
2494.26,406358,872,,2127,33,33,137454,81676,0,awareness,video 15s,meta
2488.62,374553,243,,40,1,,281977,37211,0,awareness,video 15s,meta
2487.68,411434,4052,,239,22,26,,,0,awareness,estatico,meta
2485.8,5776885,7985,,1058,2,249,554447,2006,0,awareness,video 30s,meta
2483.85,441027,436,,,,,50351,5629,0,awareness,video 30s,youtube
2482.66,2721438,3059,,,,188,236658,152664,0,consideracao,stories,meta
2481.84,2019631,1582,,232,,15,60361,287,1,awareness,reels,meta
2478.24,2450619,3019,,4439,64,38,,,0,awareness,display,meta
2475.86,192539,10871,,32,,3,125875,36750,0,consideracao,video 10s,meta
2473.22,1466828,1254,,,,20,41024,33,0,awareness,stories,meta
2471.3,727974,1515,,13,,9,8393,3162,0,awareness,gif,meta
2470.27,63312,4186,,0,,0,15922,11621,0,conversao,múltiplo,tiktok
2469.77,92970,1309,,,,,69505,3573,0,consideracao,video,youtube
2467.43,1309509,1463,,90,1,2,37983,16113,0,awareness,video 6s,meta
2466.6,1826815,1377,,239,1,7,70792,33669,0,awareness,video 6s,meta
2465.14,946569,28278,,1121,23,35,62208,22488,0,awareness,gif,meta
2460.61,1725381,412,,101,1,26,42411,10491,0,awareness,video 15s,meta
2458.62,5066455,8473,12,1937,7,639,439069,5840,0,awareness,video 30s,meta
2450.64,661725,928,,212,1,8,30676,18481,0,awareness,display,meta
2448.34,147621,698,,,,,21254,2142,0,awareness,video 60s,youtube
2447.63,3205152,17825,,0,,0,0,0,0,conversao,video 60s,tiktok
2445.41,959293,1614,,219,10,89,40458,6363,0,awareness,video 15s,meta
2445.39,1956421,2412,,,,33,,,0,consideracao,stories,meta
2443.74,223560,746,,,,,105269,45866,0,consideracao,video 15s,youtube
2442.31,852464,15094,922,4,,5,,,1,consideracao,texto,twitter
2442.24,2413506,1516,,105,9,12,52731,8335,0,awareness,gif,meta
2441.24,250686,1021,,248,22,21,15241,3709,0,conversao,video 15s,meta
2436.69,159587,1110,,228,5,12,12905,4442,0,awareness,gif,meta
2436.16,86272,1317,,,,,67226,5519,0,consideracao,video,youtube
2432.97,2842462,4318,,2218,183,63,506917,331417,0,awareness,video 6s,meta
2431.34,320136,641,,,,,166694,86914,0,awareness,video 15s,youtube
2430.58,1697460,5381,,1102,5,6,132294,1152,1,awareness,video,meta
2424.03,506751,644,,,,,112595,510,1,awareness,video 60s,kwai
2416.44,299982,782,,198,3,1,91366,38132,0,consideracao,video 15s,meta
2416.1,480386,979,,,,,205975,41854,0,awareness,video 6s,youtube
2413.84,2586132,2091,,448,,29,73419,42180,0,awareness,video 6s,meta
2410.01,1749097,1379,,116,1,3,58840,3178,0,awareness,video 30s,meta
2407.29,573730,1304,,1353,14,6,52015,23645,0,awareness,video 6s,meta
2404.23,607567,3785,,1446,78,33,,,0,conversao,display,meta
2401.13,88942,6632,,0,,0,28361,18378,0,conversao,múltiplo,tiktok
2400.56,311126,1377,,726,34,17,,,0,conversao,carrossel,meta
2400.36,206451,3099,,26537,115,23,,,0,awareness,estatico,meta
2399.61,84611,1120,,,,,63936,2334,0,consideracao,video,youtube
2395.67,640738,721,,,,,223766,57844,0,awareness,video 60s,youtube
2394.65,373776,3857,,539,41,60,34266,11246,0,conversao,video 15s,meta
2393.12,531655,2152,,,,,0,0,0,awareness,bumper,youtube
2393.1,582722,1261,,357,22,159,,,0,conversao,carrossel,meta
2392.49,290235,361,,,,,165441,93226,0,consideracao,video,youtube
2384.9,392141,3734,,305,12,16,14794,2904,0,conversao,gif,meta
2384.27,1206768,3894,,134,13,6,,,0,awareness,display,meta
2381.18,1497461,1373,,100,15,29,,,0,awareness,carrossel,meta
2380.14,446119,1011,,42,,,168074,123905,0,consideracao,video 60s,meta
2376.91,2644065,1631,,,,108,115708,31883,0,awareness,stories,meta
2376.4,548537,1123,,40670,138,26,,,0,awareness,video,meta
2374.58,730880,1946,199,5,,1,622700,209157,0,awareness,video,twitter
2374.41,258360,3581,,412,5,23,12,8,0,conversao,display,meta
2373.73,261767,1693,,1704,137,43,37634,5591,0,awareness,gif,meta
2372.52,250711,309,,,,,126730,63885,0,consideracao,video 21s,youtube
2370.53,1474377,1976,,117,1,42,,,0,awareness,estatico,meta
2370.42,436577,2542,,303,20,22,,,0,conversao,display,meta
2368.34,85219,2897,,701,19,25,6511,3502,0,conversao,video 6s,meta
2366.27,408191,3842,,,,,200928,97892,0,awareness,video,youtube
2365.56,1147789,1001,,95,6,5,58109,6138,0,awareness,video 15s,meta
2364.71,1069438,5802,1811,10,,5,,,1,consideracao,texto,twitter
2363.03,843634,606,,,17,,,,1,consideracao,display,pinterest
2358.22,814167,1055,,101,6,2,48316,6311,1,awareness,video 15s,meta
2351.7,196517,3926,,453,40,40,16495,7072,0,conversao,video 10s,meta
2351.14,519454,3470,,886,23,38,25080,11506,0,conversao,video 6s,meta
2338.17,455316,641,,221,11,21,28077,7104,0,awareness,video 10s,meta
2337.37,349972,3410,,2245,348,187,,,0,awareness,video 30s,meta
2337.17,1339210,1144,,2444,197,59,51049,8244,0,awareness,video 15s,meta
2333.69,889574,4138,7,533,,0,54094,1754,1,awareness,video 45s,tiktok
2333.07,154295,66,,1867,,2,51667,2467,0,awareness,video 15s,meta
2332.99,1205208,5543,,0,,0,98809,73922,0,conversao,video 60s,tiktok
2332.08,482749,381,,1286,,25,73810,5570,1,awareness,video 20s,meta
2332.02,2242832,2420,,170,9,75,,,0,awareness,carrossel,meta
2331.6,873373,1389,,15425,225,59,112003,7502,0,awareness,video 30s,meta
2331.02,1016295,199411,,0,,0,0,0,0,consideracao,display,tiktok
2329.94,959328,827,,3081,,78,135452,1001,0,awareness,video reels,meta
2329.08,1459510,1539,,187,,3,53253,21762,0,awareness,video 3s,meta
2328.88,300776,149,,132,5,3,143678,111837,0,awareness,video 15s,meta
2328.53,2720182,1332,,1816,60,87,102936,2862,0,awareness,video 15s,meta
2326.88,20866,271,,47,1,8,,,0,consideracao,video,meta
2324.99,295456,2233,,535,35,31,,,0,awareness,carrossel,meta
2324.38,1365840,4047,,276,5,5,173373,13243,0,awareness,video 15s,meta
2321.49,1261553,3541,,685,21,23,70204,3682,0,awareness,video 30s,meta
2320.72,1887605,1377,,38,,7,43988,37,1,awareness,video,meta
2320.56,411025,496,,342,,16,131831,2850,0,awareness,video 30s,meta
2310.91,1071675,2275,,282,9,4,62272,13705,0,awareness,video,meta
2309.71,464129,268,,,,,8588,2489,0,consideracao,video 15s,youtube
2308.91,2141348,491,,,,8,40428,15812,0,awareness,stories,meta
2307.99,1173897,1517,,541,14,28,43710,4855,0,awareness,video 15s,meta
2306.65,1909831,2054,,371,,21,73822,4641,0,awareness,video reels,meta
2304.24,2283594,3949,,6821,66,136,164600,9063,0,awareness,video 30s,meta
2303,412636,574,,33987,135,5,,,0,awareness,estatico,meta
2303,460245,923,,36972,159,28,,,0,awareness,estatico,meta
2302.6,82795,627,4,327,,2,9724,1003,0,consideracao,display,tiktok
2300,345036,2738,,33939,144,56,,,0,awareness,estatico,meta
2295.07,2207114,1836,,481,26,7,4113,1176,0,awareness,estatico,meta
2293.1,1118805,1616,,5159,112,22,121201,3184,0,awareness,video,meta
2293.04,292558,159,,254,12,6,114866,53216,0,consideracao,video 30s,meta
2291.73,399383,1848,,183,15,280,,,0,conversao,carrossel,meta
2291.5,828082,400,,,14,,,,1,awareness,display,pinterest
2289.95,1348218,4668,,1079,42,46,168460,64139,0,consideracao,gif,meta
2289.12,439680,2565,,1382,,14,54452,4549,0,conversao,video 15s,tiktok
2288.85,749829,1028,,190,15,21,,,0,conversao,carrossel,meta
2286.72,610632,2189,,1146,17,260,,,0,awareness,display,meta
2286.26,1563133,1364,,354,5,33,141462,22292,0,awareness,video,meta
2284.69,903595,636,,,22,,,,0,consideracao,display,pinterest
2281.1,1427775,1201,,611,,9,148472,2815,1,awareness,múltiplo,meta
2279.36,386100,5350,,1325,57,48,,,0,conversao,display,meta
2278.9,2158077,514,,,,6,38480,15267,0,awareness,stories,meta
2278.23,71810,1050,3,439,,1,20019,493,1,conversao,video 44s,tiktok
2274.79,254674,236,,63,,2,20874,4224,0,awareness,video 15s,meta
2271.68,823967,540,,,17,,,,1,awareness,display,pinterest
2270.23,1178657,8253,2249,16,,33,,,1,awareness,texto,twitter
2268.61,185602,3322,,557,12,18,15154,3202,0,awareness,video 15s,meta
2263.44,253219,811,,133,9,57,,,0,conversao,carrossel,meta
2261.72,1158164,4888,6,2253,,12,159259,12244,0,consideracao,video 10s,tiktok
2258.07,295114,4510,,409,8,14,,,0,conversao,estatico,meta
2256.76,698116,1274,,4692,,79,190312,5040,0,awareness,video reels,meta
2255.73,1068185,1668,,87,2,16,26475,7318,0,awareness,video 6s,meta
2253.86,1556596,382,,40,,7,36359,11137,0,awareness,video 15s,meta
2253.52,2721982,3341,,643,27,5,112240,7072,0,awareness,video 60s,meta
2252.09,2290418,2070,,1102,1,21,98719,15859,0,awareness,video 15s,meta
2250.38,1652613,8039,,0,,0,0,0,0,conversao,video,tiktok
2245.44,651585,8166,,774,14,28,,,0,conversao,display,meta
2243.42,287188,968,,,,,,,0,awareness,display,meta
2242.83,716511,262,,33,,17,21997,14811,0,awareness,gif,meta
2242.1,1244477,537,,388,,13,102721,3254,1,awareness,stories,meta
2241.14,4327288,5625,,0,,0,48826,47779,0,awareness,múltiplo,tiktok
2241.09,217851,3407,,631,66,61,18069,7376,0,conversao,video 10s,meta
2240.77,2226224,2395,,728,31,14,158978,7159,0,awareness,video 30s,meta
2236.6,1703438,188044,,0,,0,0,0,0,consideracao,display,tiktok
2234.91,701303,3376,,1381,,5,167209,2750,0,conversao,reels,tiktok
2234.5,1313068,1399,,369,1,4,45957,25429,0,awareness,display,meta
2234.05,202967,683,,,,,126516,79098,0,consideracao,video,youtube
2232.32,458373,1412,11,753,,4,43309,5207,0,awareness,video 15s,tiktok
2227.63,702441,2030,552,5,,,612948,40005,0,awareness,video,twitter
2226.68,331226,2598,,,,,192681,111254,0,awareness,video,youtube
2225.29,1499370,2010,,1615,38,7,74112,9358,0,awareness,gif,meta
2224.49,316793,964,,,,,0,0,0,awareness,bumper,youtube
2223.81,1683130,1530,,1036,,20,103735,15560,1,awareness,video 30s,meta
2222.39,173184,2335,,566,24,42,14105,3441,0,conversao,video 15s,meta
2218.31,243598,203,,,,,121553,60497,0,consideracao,video,youtube
2217.18,1286672,1119,31,1071,,17,77270,16475,1,awareness,video,tiktok
2215.74,2337754,3647,,691,,37,,,0,awareness,display,meta
2215.63,4604929,1641,,,,6,82297,23563,0,awareness,gif,meta
2208.64,2059750,1625,,1,,13,61526,18437,0,awareness,stories,meta
2201.79,430586,1260,,453,17,25,,,0,conversao,display,meta
2201.21,187065,1384,,299,17,11,1576,386,0,awareness,estatico,meta
2200.83,2022657,3106,,1809,63,20,,,0,awareness,carrossel,meta
2199.37,76723,986,,,,,58903,3034,0,consideracao,video,youtube
2197.55,1207171,257,,115,,11,29645,16004,0,awareness,video 6s,meta
2195.5,1009340,1935,,309,9,7,58336,12527,0,awareness,video,meta
2195.19,603839,1305,,,,14,42303,12693,0,awareness,stories,meta
2194.66,122021,3562,,735,33,32,,,0,awareness,estatico,meta
2194.34,894487,2136,,1275,17,19,49189,10988,0,awareness,gif,tiktok
2193.67,3125267,1699,,512,,61,85773,21513,0,awareness,video 15s,meta
2185.95,1857324,2359,,94,12,2,96728,15557,0,awareness,video,meta
2182.04,5854105,1323,,884,15,35,145433,64725,0,awareness,gif,meta
2179.1,160452,1536,,130,7,14,,,0,conversao,estatico,meta
2177.2,858473,260,,,24,,475801,5110,0,consideracao,video 43s,pinterest
2173.05,937602,2664,,42219,243,38,142847,10675,0,awareness,video 15s,meta
2172.3,1443254,2555,4,616,,10,63137,3532,0,awareness,video,tiktok
2172.1,791372,4091,,,33,,,,1,consideracao,display,pinterest
2172.06,510529,218,,372,1,75,43930,19783,0,awareness,video 15s,meta
2170.61,723844,887,,230,8,20,,,0,awareness,display,meta
2167.05,1141983,31784,,0,,0,83385,80260,0,awareness,múltiplo,tiktok
2166.31,1278796,1196,,102,6,15,,,0,awareness,display,meta
2164,322581,2129,,493,38,24,23074,7303,0,conversao,video,meta
2163.78,1086449,1142,,75,4,8,35219,3915,0,awareness,video,meta
2161.08,259832,1208,,477,49,34,8309,2742,0,awareness,carrossel,meta
2159.06,1187204,734,,277,19,5,78135,10439,0,awareness,video 12s,meta
2157.58,363132,4252,,301,13,21,22989,6187,0,awareness,video 15s,meta
2155.73,1082337,1275,,152,,3,69413,34018,0,awareness,video 6s,meta
2155.3,1531468,1310,,,,12,,,0,awareness,carrossel,meta
2155.16,1951290,1752,,380,33,23,,,0,awareness,carrossel,meta
2154.47,86318,4472,,0,,0,25547,18777,0,conversao,múltiplo,tiktok
2153.22,963572,8210,10,373,13,39,,,1,consideracao,display,meta
2152.59,232797,3069,,240,8,15,,,0,awareness,display,meta
2152.05,1645811,1347,,128,4,4,52497,4229,0,awareness,video 20s,meta
2151.28,918052,6882,,636,46,76,51129,26055,0,conversao,video 6s,meta
2144.19,1292092,3826,,2387,54,115,212645,6161,1,awareness,video 15s,meta
2142.86,149271,1744,,599,23,15,1453,749,0,conversao,display,meta
2140.29,431722,217,,,,,0,0,0,consideracao,bumper,youtube
2139.84,348569,3873,21,1850,,8,53796,6948,1,awareness,video,tiktok
2136.35,341001,1179,,169,8,20,114825,72771,0,consideracao,video 10s,meta
