Cost,Impressions,Link clicks,Comments,Reactions,Saves,Shares,Three-second video views,Video watches at 100%,influ,funnel,format,channel
16325.89,12598600,10156,,2664,,62,385010,2154,1,awareness,video,meta
16290.86,3014352,4407,,,,,1066742,325036,0,awareness,video 10s,youtube
16271.35,13587663,71889,,0,,0,0,0,0,awareness,múltiplo,tiktok
16253.34,382405,3983,128,2,,,,,0,consideracao,display,twitter
16241.29,3538625,5174,,,,,0,0,0,awareness,bumper,youtube
16223.57,9737786,6616,,,,,160355,42446,0,consideracao,video 15s,youtube
16219.69,3511754,24071,6862,31,,4,,,1,consideracao,texto,twitter
16205.88,8949240,12306,,2553,35,92,266385,48588,0,awareness,video 15s,meta
16184.21,4955219,20831,,1629,83,76,,,0,conversao,display,meta
16178.08,3060391,40809,274,29119,,85,1367499,25146,1,awareness,video,tiktok
16174.39,5478425,1179420,,0,,0,0,0,0,consideracao,video,tiktok
16170.4,11819958,6597,,619,9,69,258851,125436,0,awareness,bumper,meta
16167.71,11693734,31664,,32636,1062,315,781911,88912,0,awareness,video 30s,meta
16134.85,4422658,1187,,,89,,2446795,141156,0,awareness,video 6s,pinterest
16131.77,4022246,779,,1528,33,43,1893493,1560996,0,awareness,gif,meta
16131.25,1856403,119683,,1167,15,64,213725,55066,0,consideracao,video 15s,meta
16107.93,3056844,6808,,,,,290459,68113,0,conversao,video 15s,youtube
16105.09,2394043,9247,,8894,633,211,,,0,awareness,carrossel,meta
16099.07,4099016,15065,841,11,,8,3204155,206962,1,awareness,video,twitter
16099.01,5067176,16325,540,6,,,4252292,1057798,0,awareness,video,twitter
16086.81,996371,2991,,840,14,9,730989,2486,0,consideracao,video 30s,meta
16082.53,3349653,23183,7282,69,,6,,,1,consideracao,texto,twitter
16078.64,9436870,9664,,1128,19,57,268192,55215,0,awareness,video,meta
16064.72,3677554,16349,,4593,111,175,167755,44686,0,conversao,video 10s,meta
16064.32,5106648,9623,,852,40,35,260828,34207,0,awareness,video 15s,meta
16049.15,2037751,21576,,4937,316,272,77223,54060,0,conversao,múltiplo,meta
16043.19,6259504,7177,,1350,,337,193639,105531,0,awareness,video,meta
16042.09,6906762,39598,41,3522,,47,323729,21878,0,awareness,video 20s,tiktok
16028.66,12812902,14295,,1373,84,102,502205,70181,0,awareness,video 30s,meta
15997.85,10662437,9418,,18225,1352,1208,,,0,awareness,estatico,meta
15979.26,3054334,15338,72,4901,,55,348047,99377,0,awareness,video 6s,tiktok
15960.07,7388506,4482,,,,,1415796,565170,0,awareness,video 15s,youtube
15927.83,8201716,11419,,1838,23,93,256846,44148,0,awareness,video 15s,meta
15924.96,24940942,33520,,,,39,606841,338810,0,awareness,stories,meta
15924.68,17128287,8318,,1,,38,382774,126920,0,awareness,stories,meta
15919.23,12244028,7552,,1426,,21,263557,32741,0,awareness,video reels,meta
15898.58,3038769,16547,198,5957,,108,281042,84798,0,awareness,video 6s,tiktok
15879.11,6110387,26581,889,6,,1,,,0,awareness,display,twitter
15875.9,2890117,4230,,,,,672467,152381,0,awareness,video 10s,youtube
15842.91,2307694,23971,,,,,1328938,758558,0,consideracao,video,youtube
15840.9,1304247,8471,583,5,,4,1199707,97530,0,awareness,video 15s,twitter
15831.49,4616846,6679,,1874,49,31,303053,57698,0,awareness,video 6s,meta
15830.2,3690538,4307,,,,,1411808,539311,0,awareness,video 15s,youtube
15814.35,4943838,29883,,1712,318,28,1163907,208801,0,awareness,video 10s,meta
15813.82,5941226,29634,770,11,,10,,,0,awareness,display,twitter
15803.22,2348492,151609,,,,,0,0,0,consideracao,display,youtube
15773.7,16058207,47289,,17,,5,,,0,awareness,carrossel,twitter
15765.01,10162449,11643,,16667,399,187,1345868,439806,0,awareness,gif,meta
15733.35,3695828,10287,,2680,275,200,141445,45842,0,awareness,carrossel,meta
15722.54,1028730,592,,489,17,15,718326,616703,0,awareness,video 15s,meta
15712.56,2757973,3369,,,,,523701,99608,0,consideracao,video 15s,youtube
15709.65,3333004,4692,,13831,193,26,,,0,awareness,estatico,meta
15704.47,10327527,6150,,1456,12,75,595950,194844,0,awareness,display,meta
15668.42,1757442,6674,,,,361,,,0,awareness,stories,meta
15659.06,3055955,1913,,3145,,248,438476,44378,1,awareness,video 20s,meta
15643.52,2285794,19588,44,6359,,67,1322235,29225,1,awareness,video,tiktok
15619.64,3160372,19985,,56970,208,99,,,0,awareness,estatico,meta
15602.59,6895743,59441,,3523,24,136,,,0,consideracao,display,meta
15597.06,1218780,3682,,,,,549075,127825,0,awareness,video,youtube
15583.25,1347931,15481,,6012,270,269,195794,30508,0,awareness,gif,meta
15561.15,8969320,18152,,22103,375,41,558444,252437,0,awareness,video 15s,meta
15556.18,1447931,1786,,,,,469796,150805,0,consideracao,video 30s,youtube
15554.5,4263955,1370,,,77,,2340217,189438,0,awareness,video,pinterest
15549.68,7567038,9175,,966,59,20,445631,17980,0,awareness,video,meta
15531.17,1259169,3362,,,,,578710,245142,0,awareness,video 15s,youtube
15526.47,1162151,16415,,938,20,61,270586,171905,0,awareness,gif,meta
15519.08,6489087,27273,,10,,10,7219155,2234728,0,consideracao,video 6s,twitter
15495.49,10612058,8853,,1094,95,508,,,0,awareness,display,meta
15456.88,13209494,9043,,6888,322,191,,,0,awareness,display,meta
15441.96,2951881,15608,107,5204,,83,280957,83523,0,awareness,video 6s,tiktok
15441.34,6648405,14435,51,3216,,53,403090,18576,0,awareness,video 30s,tiktok
15438.38,4888903,18085,1047,7,,7,4213761,268602,0,awareness,video,twitter
15433.17,19551342,10080,,,,,1588545,208309,0,awareness,video 6s,youtube
15431.08,4110791,1623,133,36560,2,196,428480,28089,1,awareness,video 30s,meta
15391.9,2961027,87302,,,,,2803146,2673921,0,awareness,video 6s,youtube
15384.25,7000770,12886,,613,8,31,332278,24365,0,awareness,video,meta
15381.08,3804478,7248,,,,,0,0,0,awareness,bumper,youtube
15362.26,1245938,8247,472,1,,,1165181,115838,0,awareness,video 15s,twitter
15342.42,8428637,9638,,1824,65,13,,,0,awareness,estatico,meta
15266.75,8262006,29093,,3968,,32,514116,9727,1,awareness,video,tiktok
15247.5,1747925,7320,,,,,593179,200495,0,awareness,video 15s,youtube
15241.76,4525595,11308,,932,39,36,1484,882,0,conversao,display,meta
15241.33,4464818,35141,,4571,203,269,269887,60149,0,awareness,gif,meta
15237.86,5554647,8014,,858,24,18,172050,73844,0,awareness,video 6s,meta
15226.86,827944,3113,,6034,3,85,266754,33068,0,awareness,video 30s,meta
15194.68,2122281,2129,,,,,808158,304999,0,consideracao,video 30s,youtube
15189.56,1861405,3467,,,,,978076,514664,0,consideracao,video 15s,youtube
15184.1,7058566,97135,125,59217,,87,1779470,282759,1,awareness,video 50s,tiktok
15177.93,5545004,17480,586,6,,2,,,0,awareness,display,twitter
15153.98,6103205,14041,,1900,37,65,248467,110430,0,awareness,gif,meta
15091.14,10148445,18591,,10358,256,85,514737,96470,0,awareness,video 10s,meta
15089.72,1114705,12773,,6150,274,154,146480,21114,0,awareness,video 15s,meta
15074.12,5517892,45281,,1657,239,95,,,0,awareness,estatico,meta
15061.49,1121528,3120,,,,,535344,123611,0,awareness,video,youtube
15013.52,11396096,3230,,726,,31,276399,11037,1,awareness,gif,meta
15000,6558193,12536,,756,9,12,,,0,awareness,carrossel,meta
15000,4699436,16189,,31935,903,252,694566,127850,1,awareness,video 15s,meta
